mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"1M 8MSPS:0",0,-35,11.00,10
"1M 8MSPS:01",1,-30,11.75,11
"1M 8MSPS:02",2,-31,10.75,11
"1M 8MSPS:03",3,-30,12.00,11
"1M 8MSPS:04",4,-30,11.75,11
"1M 8MSPS:05",5,-30,11.75,11
"1M 8MSPS:06",6,-30,11.25,11
"1M 8MSPS:07",7,-30,11.50,11
"1M 8MSPS:08",8,-30,11.00,11
"1M 8MSPS:09",9,-30,10.75,11
"1M 8MSPS:010",10,-30,10.75,12
"1M 8MSPS:011",11,-30,11.00,12
"1M 8MSPS:012",12,-31,11.00,12
"1M 8MSPS:013",13,-31,10.50,12
"1M 8MSPS:014",14,-31,10.75,12
"1M 8MSPS:015",15,-31,10.75,12
"1M 8MSPS:016",16,-31,10.75,12
"1M 8MSPS:017",17,-31,11.00,12
"1M 8MSPS:018",18,-29,11.25,12
"1M 8MSPS:019",19,-31,11.00,12
"1M 8MSPS:020",20,-31,11.00,12
"1M 8MSPS:021",21,-32,10.50,12
"1M 8MSPS:022",22,-31,10.75,12
"1M 8MSPS:023",23,-31,10.00,12
"1M 8MSPS:024",24,-32,10.50,12
"1M 8MSPS:025",25,-31,10.75,12
"1M 8MSPS:026",26,-38,9.75,12
"1M 8MSPS:027",27,-31,10.75,12
"1M 8MSPS:028",28,-31,10.50,12
"1M 8MSPS:029",29,-32,10.75,12
"1M 8MSPS:030",30,-31,11.00,12
"1M 8MSPS:031",31,-32,10.25,12
"1M 8MSPS:032",32,-32,10.25,12
"1M 8MSPS:033",33,-32,10.50,12
"1M 8MSPS:034",34,-32,11.00,12
"1M 8MSPS:035",35,-31,10.50,12
"1M 8MSPS:036",36,-32,10.50,12
"1M 8MSPS:037",37,-31,10.75,12
"1M 8MSPS:038",38,-31,10.50,12
"1M 8MSPS:039",39,-31,10.75,12
"1M 8MSPS:041",41,-37,10.50,12
"1M 8MSPS:042",42,-37,10.50,12
"1M 8MSPS:043",43,-32,10.25,12
"1M 8MSPS:044",44,-32,10.75,12
"1M 8MSPS:045",45,-31,11.00,12
"1M 8MSPS:046",46,-31,10.75,12
"1M 8MSPS:047",47,-32,10.75,12
"1M 8MSPS:048",48,-31,10.75,12
"1M 8MSPS:049",49,-31,11.00,12
